review,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
Kamarnya sebenarnya nyaman tetapi dari toiletnya tercium bau selokan padahal berada di lantai 2. Semoga diperbaiki lebih baik lagi ya.,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"kamar nya luas enak banget,..pegawainya ramah,...,..sarannya mungkin handuk dan tempat tidurnya meskipun sdh bersih bisa dpakai pengharum,..",neut,neut,neg,neut,neut,neut,pos,neut,neut,neut
"hotel cukup bagus..  wifi sangat jelek di room 519, breakfast cukup walau menu terbatas. wakru cek in terlambat sekitar 15 menit dan unt cek out.. jam 10.30 sdh diingatkan. ",neut,neut,neut,neut,neut,neut,neut,pos,neut,neg
"Lumayan lah.. sangat terjangkau, namun perlu ada yg dibenahi soal kebersihan kasurnya. Kemarin saya mendapati kasurnya jorok, banyak helai rambur, sepertinya belum dibersihkan belum diganti seprei bekas pengunjung sebelumnya.",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
But air kamar mandi a bit smelly,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
banyak nyamuk dan kecoa.... lantainya juga kotor banget!!! and too much noisy heeeee not that good hmmmm.,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
pelayanan yang kurang baik,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",neut,neg,neut,neut,neut,neg,neut,neut,neut,neut
"Tempatnya bersih, minus wifi nya ga bisa",neut,neut,neut,neut,pos,neut,neut,neut,neut,neg
"Bersih, nyaman dan lingkungan tenang. untuk dapur bisa diperbaiki lagi yaa.. agar lebih bersih 😉",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"selimut nya tipis, sprei dan kain2 nya terlihat buluk, air panas nya tak berfungsi :(",neut,neg,neut,neut,neut,neg,neut,neut,neut,neut
"Lokasinya deket dengan Stasiun KRL, namun seprei masih ada bercak kotoran dan ruangannya sumpek walau AC nyala.",neut,neut,neg,neut,neg,neg,neut,neut,neut,neut
"mengecewakan. snack gak ada sama sekali, toiletries gak ada sama sekali, air panas gak bisa, wifi lemot maksimal.",neut,neg,neut,neut,neut,neg,neut,neut,neut,neg
"kalau segi kenyamanan agak kurang karena AC kurang dingin dan tolong kamar mandi setiap kamar rajin di bersihkan karena kemarin saya menginap ada semacam cacing hitam di lantai bawah (kmr 202). pelayanannya sangat bagus masnya ramah, disini disediain handuk",neg,neut,neut,neut,neg,pos,pos,neut,neut,neut
overall ok tapi saluran air menggenang dan flush closet macet ,neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
Untuk AC tolong diperhatikan krn ruangn tdk dingin pdhl suhu 18 drjt tp AC tidak dingin...yg lain ok..,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
"air keran keluarnya kecil & rasanya asin, mungkin karna dekat daerah laut & sedang kemarau. jadi harus nampung dulu kalo mau MCK. handuk hanya tersedia 1, padahal orangnya 2. tempat masih dalam perbaikan, jadi kurang nyaman. jendela tidak ada tirai, jadi keliatan dari seberang. stop kontak hanya tersedia 1 untuk televisi, jadi kalo mau charger hp,kabel  tv harus dicabut. AC kurang dingin, padahal sudah 16°C. ada lemari pakaian yg besar, tapi tidak ada hangernya. keset tipis, jadi kalo mandi kesetnya ikutan basah. Ulasan diatas mungkin banyak minusnya, tapi sesuai lah dengan harganya. terimakasih.",neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
"tempatnya nyaman dan bersih. cuma ketika masuk kamar, bau apek. saran saya supaya diberi pengharum ruangan",neut,neut,neg,neut,pos,neut,neut,neut,neut,neut
"sebenarnya saya bisa kasih sangat baik kalau kebersihan kamar dijaga, tks",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
tempatnya bersih dan nyaman tdk berisik yang kurang handuknya kurang bersih atau sudah lama bisa di ganti yang baru ,neut,neut,neut,neut,pos,neg,neut,neut,neut,neut
kamar jelek kasur pernya amblas. ada ac tapi tidak berfungsi jadi panas udah kayak tidak ada udara,neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
"Lokasi hotelnya strategis banget. Dekat kemana2. Apalagi dekat dengan mall Istana plaza. Dekat pula dengan beragam tempat wisata di pusat kota. Kamarnya meski kecil tapi cukup nyaman.  Cuma saran saya, untuk di kamar mandi tolong ditambahi dengan tempat sampah. Dan memang nggak dikasih sikat sama odol ya?Trus untuk sprei dan sarung bantal guling supaya lebih bersih lagi karena masih ada bekas bercak2. Setidaknya dibersihkan dnegan pemutih pasti hilang deh. Kan spreinya warna putih.Tapi sejauh ini nyaman2 saja. ",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"Assalamualaikum wr wb tampilan depan kotor, pelayanan kurang ramah, ac kurang dingin!",neg,neut,neut,neut,neg,neut,neg,neut,neut,neut
Kamar bersih tapi kamar mandi kotor tidak terawat. ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Sudah cukup baik. Harga segitu cuman untuk istrahat sudah sangat bagus. Hanya saja air hangatnya kurang berfungsi dengan baik,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
kamar mandi kotor. seprei dan sarung bantal kotor,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
air Asin. channel TV hancur gambarnya admit berantem,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Kamar bau apek bgt, toilet kotor",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"Ac ga dingin, jauh dr harapan dan standard airy..",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"kamar agak kotor, dan terlihat kurang bersih , berisik",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"receptionist kurang ramah, lift kotor dan bau, air kamar mandi kurang lancar tapi air panas dari shower mantab, kebersihan bantal dan sprei perlu dievaluasi lagi. Amat disayangkan potensi yg sangat baik tidak didukung profesionalisme SDM nya, fungsi kontrolnya perlu ditingkatkan",neut,pos,neut,neut,neg,neg,neg,neut,neut,neut
"kolam nya kotor, free meal nya tidak sesuai dengan daftar",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"Kamar Bau Rokok, snack dan pelengkap dari airy rooms tidak ada",neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
"kamarnya gelap, selimut kuning, kamar Airy di lt 3 gk ada lift, sarapan apa adanya, wifi gk ada koneksi di kamar, gk nginap disini lg,,kecewa",neut,neut,neut,neut,neg,neg,neut,neg,neut,neg
ac ga dingin sama sekali. kamar mandi banyak kerak. sprei noda dan bau. handuk cuma 1 kecil dan warna kusam. semua furniture kotor.,neg,neut,neut,neut,neg,neg,neut,neut,neut,neut
tolong di tingkatkan kamar mandi nya,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kecewa penjaganya Krn kita dtgnya udh malem dan msh ada kerjaan balik lagi ke hotel udh jam 11 malem,Krn kesiangan bangun jam 11. siang baru cari makan pas jam 12 lg mandi udh di gedor2 Ama penjaganya dengan muka asem dan ngk ramah pas kita bilg msh siap2 dulu dengan galaknya dia bilg 'jangan lama2 dan tuh org nungguin di depan kamar",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"Ekspresi pertama masuk kamar...seperti tidak pernah ditempat. Furniturenya tua, tv tabung warna berubah-ubah. Pelayanan ramah, tapi sprei 3 hari menginap tidak diganti. wifi kencang. Malam banyak binatang, susah tidur karena gatal.",neut,neut,neut,neut,neg,neg,pos,neut,neg,pos
"PAS BARU SAMPAI TERNYATA BELUM TERDAFTAR DI HOTEL INI, SNACK SUDAH TIDAK TERSEDIA YA? SOALNYA GA ADA.",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"petugas penginapan baik dan ramah, tetapi sarung bantal agak apek dan seprei kurang bersih.",neut,neut,neut,neut,neg,neg,neg,neut,neut,neut
"saluran air d westafel buntu, Handuk kasar Jaringan wifi tdk smpai karna dpt kamar plg ujung Untuk air d showernya agak bermasalah dg air pnas dan dinginnya sehingga yg berfungsi cuman air panasnya. Mau komplain nanggung karna cuma bentar disini dan musti jalan kaki kedepan jauh bgt karna dapat kamar plg ujung :/ ",neut,neg,neut,neut,neut,neg,neut,neut,neut,neg
Toilet nya kotor. kamar mandi nya juga ga bersih. untuk kasur dan lain lain oke,neut,neut,neut,pos,neg,pos,neut,neut,neut,neut
"Saya sering nginap disini biasanya nyaman, tapi kmrn saya nginep 2 hr dapat kamar no 22 AC panas tidak berasa , tidurpun sampai keringetan ",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"tidak sesuai gambar , kamar sempit , selimut bau , kamar bau tak sedap , ",neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
kamarnya kurang bersih lantainya msh kotor..tuk sabun msh ditnykan dl baru diberikan..internetnya sering trouble..syang skali..semoga ditingkatkan lg kwalitasnya,neut,neut,neut,neut,neg,neg,neut,neut,neut,neg
"tempat oke nyaman ,bagus semuanya , cuma pelayannya kurang, minta password wifi ga di kasih .alasan ",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
sangat kecewa dengan kamar dan pelayanan staffnya! ,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"Dengan harga yang murah, bisa dapat breakfast/sahur pas ramadhan. Lokasi strategis persis seberang gerbang Stasiun Cirebon. Yang perlu diperbaiki adalah jangkauan WiFi yang masih rendah, view dari kamar sangat terbatas, kasur yang mudah berubah bentuk, dan jangkauan TV yang masih terbatas.",neut,neut,neut,neut,neut,neut,neut,pos,neg,neg
"lokasi sangat strategis, parkir luas, air hangat berfungsi dgn baik. kurang bersih, selimut agak bau, dan tv kabel tidak berfungsi. ",neut,pos,neut,neut,neg,neg,neut,neut,neg,neut
"Nyaman,bersih, Tapi kasurnya sempit bener-bener untuk 2 orang dempetan tdurnya Wifi susah connect",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
air hangatnya tdk bisa di gunakan wcnya bau.. tdk ada handuk,neut,neg,neg,neut,neut,neg,neut,neut,neut,neut
"Tempat tidak sesuai dengan foto,kotor banget. Air panas tdk bisa d gunakan, lokasi sangat berisik banget. Menu sarapan pagi, kurang variatif. ",neut,neg,neut,neut,neg,neut,neut,neg,neut,neut
"gak ramah, pelayanan bad service",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"Kamar tidak sama gambar di foto,  air shower panas mati.  ",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Iya, handuk harum, cuma dua hari du kasih minum. 2 saja, biasanya 2 untuk 1 malam ",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"Gaada selimut, air mineral pun gaada.  air panas gaada, breakfeast gaada (padahal di applikasi ada).  kecewa banget nya karena GAADA SELIMUT di area sedingin itu.  harga terlalu mahal untuk tempat yang bisa dibilang kumuh. ",neut,neg,neut,neut,neut,neg,neut,neg,neut,neut
"wifii kurang kenceng, g dpat snack ma toileteries, g ada water heater. lainnya oke",neut,neg,neut,pos,neut,neg,neut,neut,neut,neg
"Remote ac tidak berfungsi. Ada kecoa dan kaki seribu dimalam hari. Porsi sarapan sedikit. Ada bekas rembesan air di langit-langit kamar dan di dinding nya. Akan tetapi, dengan harga yang relatif murah untuk single room, kamar ini cocok untuk para budget traveller. ",neg,neut,neut,neut,neg,neut,neut,neg,neut,neut
"kurang bersih, toiletnya ga nyaman bau, colokannya cuma satu buat tv doang",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"Agar lebih di perhatikan kebersihan kamar dan kamar mandi dari nyamuk dan kelabang, untuk masalah penambahan hari agar di permudah..",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kamarnya bagus, pelayanan ramah. cuman WiFi nya mati (rusak)",neut,neut,neut,neut,neut,neut,neg,neut,neut,neg
"kamar luas dan bersih, wifi tidak bisa terhubung,tolong disediakan keset juga ya. selebihnya oke",neut,neut,neut,pos,pos,neut,neut,neut,neut,neg
Air hotel bau Tdk bisa istirahat krn hotel pakai acara pernikahan Kamar terkesan kusam dan gelap Me,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"pelayanan baik dan sigap .. sarapan lumayan enak untuk nasi goreng nya.. cuma ada yang perlu di perbaiki, 1. kamar mandi kurang bersih 2. air panas di shower mati idup jadi tiba2 dingin sendiri 3. aliran air pada shower kurang besar/banyak..",neut,neg,neut,neut,neg,neut,pos,pos,neut,neut
"ac nya waktu saya menginap ada yang bocor di ac,selebihnya nyaman saya disana udeh 3 kali saya disana dan yang terakhir doang ac nya bocor",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"Overall nyamanlah. Lokasi dekat stasiun, banyak warung makan dan laundri si sekitar. AC dingin, kamar mandi lumayan tanpa pemanas, tv oke. Cuma agak sempit aja dan wifi tidak bisa diakses.",pos,neg,neut,pos,neut,neut,neut,neut,pos,neg
"Kamarnya Bersih, nyaman,, tapi AC,nya ga kerasa dingin",neg,neut,neut,neut,pos,neut,neut,neut,neut,neut
Kebersihan toilet perlu diperbaiki ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Bagus tetapi sowernya mati Jadi susah saat mandi. Tidak ada air panas,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Spreinya kotor kaya bekas darah gitu. Jijik bgt,, Baru ktahuan mlm karna d tutup sma selimut.  Kamar mandi kotor kayanya jarang d bersihkan. G sesuai sma foto.  Mengecewakan. ",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
banyak kecoa dan kutu dan airnya bau,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
wifi tidak bisa akses ke internet,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Tidak ada handuk, air tergenang di wc pas pertama masuk. pelayanan makanan tidak sesuai menu pada saat di pesan.",neut,neut,neut,neut,neut,neg,neut,neg,neut,neut
baik fasilitas nya oke.  namun sprei nya kotor dan gatal. its  ok recomended tp sprei nya. tamu berganti sprei nya di cuci juga ,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"pas dateng kamarnya agak bad smell , lampu nya agak remang, tapi linens bed nya clean kok 😊 , reception friendly,  pokoknya overall good lah.  recommended  👍",neut,neut,neg,pos,neut,pos,pos,neut,neut,neut
"pelayanannya sangat kurang.. harusnya bisa check in jam 14.00 malah check in jam 16.30 kamarnya masih belom dirapihkan.. untuk fasilitas kolam renang airnya kurang terawat...pesen 2 kamar sampe tempat dpt 1 kamar, dan yg 1 kamarnya dikasih deket pintu gerbang dan kayaknya deket sepitank.. karna bau banget.. untung cuma 1 hari..",neut,neut,neg,neut,neut,neut,neg,neut,neut,neut
semua bagus saya suka nyaman cuman kurangnya petugas kurang sigap dalam service kamar seperti pembaharuan minum dan cemilan serta peralatan mandi ,neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
"pelayanannya ramah dan viewnya cantik banget. next trip mampir lg kesini. cuma ada yg kurang, wastafel di kamar agak kotor dan mampet. yg lainnya oke banget",neut,neut,neut,pos,neg,neut,pos,neut,neut,neut
"Pelayanan ramah dan cepat ,  Sarapan juga enak,  tapi masalahnya di kasur sudah gak layak. Kalau ditidurin anjok papannya... Dan kamar mandi sebaiknya selalu di beraihkan terutama kloset wc, ",neut,neut,neut,neut,neg,neg,pos,pos,neut,neut
"saya booking kamar airy room masa di kamar bukan seperti yang di extra nett ga ada snacky airy, ga ada bantal airy, ga ada bed runer airy, tidak sesuai seperti yang di foto airy room, recepsionis tidak ramah yang jaga pada shif sore nya perempuan, hexos  bunyi berisik, air hangat tidak berfungsi, hotel city icon residence berisik karena ada pesta acara ulang tahun. yang ramah cumang staf bapak security nya saja yang jaga pada saat itu.",neut,neg,neut,neut,neut,neg,neg,neut,neut,neut
tempatnya nyaman... cm customer servisnya kurang ramah... tdk ada senyum sapa salam ... flat...,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"Air panas rusak, apes dah",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
kamar mandi tidak bersih kabel tv tidak memiliki power point electricity nya down harus menunggu lama untuk on kembali,neut,neut,neut,neut,neg,neut,neut,neut,neg,neut
Water heaternya tidak berfungsi,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Lokasi sebenarnya strategis, kamar kecil terus AC-nya ribut, TV masih pake antena dalam bantalnya masih bau waktu saya kesana. Kamar kecil juga sempit.",neg,neut,neut,neut,neut,neg,neut,neut,neg,neut
"Receptionis sangat cakap, kamar luas, tempat parkir besar, sayang kamar mandi bau. overall good",neut,neut,neg,neut,neut,neut,pos,neut,neut,neut
Pelayanannya sudah ok... Kurangnya air hangatnya tidak hdup...,neut,neg,neut,neut,neut,neut,pos,neut,neut,neut
"lokasi oke, pelayanan oke, parkiran agak sempit, hanya muat 2 mobil, kebersihan kamar bisa di tingkatkan lg, thanks",neut,neut,neut,neut,neg,neut,pos,neut,neut,neut
"wastafel nya mampet n kebersihan kamar dan kolam harusnya bs lebih bersih, ",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Channel tv ny kurang jernih dn kurang banyak,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Satpamnya ramah, kamar enak, sayang gak ada gantungan bajunya. gak ada pewangi ruangan over all oke lahh",neut,neut,neg,pos,neut,neg,pos,neut,neut,neut
"AC di 303 gakada rasanya sama sekali. sampai ganggu tidur, tolong dicek. Overall oke.",neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
"Pelayanan kamar baik, cs airy sangat membantu saya dengan pelayanannya yang 24 jam. yang perlu diperbaiki hotelnya, karna kamar mandinya kurang bersih, dan tidak ada kunci privasi didalam kamar.",neut,neut,neut,neut,neg,neut,pos,neut,neut,neut
"Airnya bau kurang sedap, dan kamar mandi kurang terawat .. perlu diperbaiki padahal sudah bagus temp",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
suka banget sama kamarnya bersih banget air Snack lengkap tapi sayang tv tidak satelit tapi gpp all good😘,neut,neut,neut,neut,pos,pos,neut,neut,neg,neut
"Chanel tv di kamar tidak bisa di liat, saluran semut semua, mngkin lain kali bisa di benahi Lain2 sangat memuaskan dan sangat nyaman Recommended ",neut,neut,neut,pos,neut,neut,neut,neut,neg,neut
Shower dan pemanas kamar no 7 lantai 2 perlu diperbaiki,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
resepsionisnya tdk ramah,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
tidak ada wifi sesuai yg di iklankan..  ,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"kamar bersih, tapi sayang selimbut agak bau apek spt lama tidak dipakai. air panas lancar, nyaman sekali. semua staffnya ramah.",neut,pos,neut,neut,pos,neg,neut,neut,neut,neut
seprainya kotor,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"serem, wc bau",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
kamar mandi ga bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kamar bersih, ac dingin, tv berfungsi. tapi pintu kamar mandi tidak bisa dikunci. resepsionis kurang ramah toiletries hanya diberi 1 untuk 3 hari padahal harusnya tiap hari dapat.",pos,neut,neut,neut,pos,neg,neg,neut,pos,neut
"Kamar jorok, berdebu, banyak sarang laba2 disetiap penjuru dinding. Rak kmr mandi gak pernah dibersihkan Tolong tegur bagian bersih2nya agar krja nya serius jangan asal2 an Kasur ada bercak darah, sprey ada noda2 kelihatan gak diganti bekas tamu sebelumnya 2 hari menginap perlengkapan mandi gak diisi Snack dan air minum jg tdk Resepsionis jutek",neut,neut,neut,neut,neg,neg,neg,neut,neut,neut
remot tv kurang berfungsi dengan baik,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
kamarny luas.  namun kebersihan kurang. waktu proses cek out menunggu agak lama.  selebihnya ok,neut,neut,neut,pos,neg,neut,neg,neut,neut,neut
"Lumayan untuk bacpakeran,  harganya terjangkau banget. Tempatnya bersih,  cuma spreinya agak berdebu",neut,neut,neut,neut,pos,neg,neut,neut,neut,neut
"Lumayan bagus, hanya air showernya awal panas lama2 dingin",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Menyenangkan, namun wifi yang bermasalah sangat disayangkan",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
ac lambat dingin,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"ruangan kotor, tidak tersedia alat mandi, lain lain lumayan",neut,neut,neut,pos,neg,neg,neut,neut,neut,neut
"Kamar sempit, air mati terus. Ac ga dinging, remote ac tidak berfungsi",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
untuk harga 150rb cukup baik. walau AC nya ga dingin😊😊 tp pelayanan yg punya rumah cukup baik. ternyata dapat snack jg😊😊,neg,neut,neut,neut,neut,pos,pos,neut,neut,neut
"kamar kotor, petugasnya ramah, riuh",neut,neut,neut,neut,neg,neut,pos,neut,neut,neut
"Guest house yang tidak akan pernah saya rekomendasikan untuk menginap bersama keluarga karena tidak terawat berkesan pemilik tidak mau tahu dengan investasinya, sprei dan sarung bantal lubang-lubang terlihat lusuh pasti sudah terpakai bertahun-tahun, banyak nyamuk.. ",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"tidak sesuai dengan difoto Kotor, sprei dan sarung bantal kuning, Dan bau apek tidak recommended sama sekali",neut,neut,neg,neut,neg,neg,neut,neut,neut,neut
"proses check-in lama, dan juga kamar yang satu wastafel nya bocor , pesan 2 kamar baru tersedia 1 harus nunggu untuk kamar yang kedua agak lama padahal check-in jam 2an harusnya sudah siap. kamar satu air panas nya ga bisa, kamar yang satu bisa tapi airnya keluar kecil, dan tidak ada tissue",neut,neg,neut,neut,neut,neg,neg,neut,neut,neut
"enak nyaman tempat nya, ramah pelayanan nya, tapi untuk seprai dan sarung2 bantal nya kurang bersih warna nya kusam gtu, itu aja deh hehe makasih",neut,neut,neut,pos,neut,neg,pos,neut,neut,neut
"sekilas terlihat mewah tapi banya yg kurang, toilet kotor, handuk sangat kecil seperti lap kamar mandi, kamar banyak nyamuk, masa kamar mewah gk dapat selimut. payah !",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"kebersihannya perlu ditingkatkan, terutama di peralatan kamar mandi",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Berkesan karena dekat kemana-mana tapi yang buat saya kecewa kamarnya jorok,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kamar dan pelayanan cukup oke, cuma didalem kamar signal hp drop, wifi pun gak sampe ke dlm kamar. cukup susah kalo harus keluar masuk kamar.",neut,neut,neut,neut,neut,neut,pos,neut,neut,neg
"kondisi kamar baik hanya saja kurang bersih, terlihat debu di lantai dan furniture terutama di kotak Snack, lalu semprotan toiletnya lepas. Kamarnya juga bau rokok, namun setelah melapor pada housekeeping langsung disemprot, sayangnya ternyata di kamar mandi bau rokoknya tetap tidak hilang. Kasurnya lumayan empuk. Menu sarapan alakadarnya.",neut,neut,neg,neut,neg,neut,neut,neg,neut,neut
kotor sekali,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Tempatnya Ok dan unik....hanya saja air panasnya gak ada...,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Kamar kotor, seprai warnanya kuning-kuning, bantalnya seperti batal lama/rusak bagian dalamnya, meja kamar rusak-rusak seperti meja bekas, AC tidak berfungsi baik, kamar kotor, penjaga hotelnya jutek-jutek. Tidak recommended deh.",neg,neut,neut,neut,neg,neg,neg,neut,neut,neut
"Air panas nya gak banget panas ,sy bawa anak bayi kasian jadi mandi air dingin",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
sesuai picture .. bersih . tp klo mlm gaboleh duduk2 diloby . prioritas buat yg bulanan .,neut,neut,neut,neut,pos,neut,neut,neut,neut,neut
"pelayanan ramah, tetapi toilet pas awal masuk ada bau kurang enak. kamar kurang luas dan tidak ada hiasan dinding / motif seperti di gambar promo nya",neut,neut,neg,neut,neut,neut,pos,neut,neut,neut
